real,R0,R1,R2,Rt
0,0.5,0.001,0.0,0.0002
1,0.5,0.0035,0.0025,0.0027
2,0.5,0.001,0.0,0.0002
3,0.5,0.001,0.0,0.0002
4,0.5,0.001,0.0,0.0002
5,0.5,0.001,0.0,0.0002
6,0.5,0.001,0.000125,0.0003
7,0.5,0.001,0.0,0.0002
8,0.5,0.001,0.0,0.0002
9,0.5,0.0015,0.0,0.0003
10,0.5,0.0015,0.0,0.0003
11,0.5,0.0015,0.0,0.0003
12,0.5,0.001,0.000125,0.0003
13,0.5,0.001,0.0,0.0002
14,0.5,0.001,0.0,0.0002
15,0.5,0.002,0.0,0.0004
16,0.5,0.001,0.0,0.0002
17,0.5,0.0015,0.0,0.0003
18,0.5,0.001,0.0,0.0002
19,0.5,0.001,0.0,0.0002
20,0.5,0.002,0.0,0.0004
21,0.5,0.001,0.0,0.0002
22,0.5,0.0015,0.0,0.0003
23,0.5,0.0015,0.0,0.0003
24,0.5,0.001,0.0,0.0002
25,0.5,0.001,0.0,0.0002
26,0.5,0.0015,0.0,0.0003
27,0.5,0.001,0.0,0.0002
28,0.5,0.001,0.00025,0.0004
29,0.5,0.0015,0.000125,0.0004
30,0.5,0.001,0.0,0.0002
31,0.5,0.001,0.0,0.0002
32,0.5,0.0015,0.0,0.0003
33,0.5,0.001,0.0,0.0002
34,0.5,0.001,0.0,0.0002
35,0.5,0.001,0.0,0.0002
36,0.5,0.001,0.0,0.0002
37,0.5,0.001,0.0,0.0002
38,0.5,0.001,0.0,0.0002
39,0.5,0.005,0.0,0.001
40,0.5,0.0015,0.0,0.0003
41,0.5,0.001,0.0,0.0002
42,0.5,0.001,0.0,0.0002
43,0.5,0.001,0.0,0.0002
44,0.5,0.001,0.0,0.0002
45,0.5,0.001,0.000125,0.0003
46,0.5,0.0015,0.0,0.0003
47,0.5,0.001,0.0,0.0002
48,0.5,0.0015,0.000125,0.0004
49,0.5,0.001,0.0,0.0002
50,0.5,0.001,0.0,0.0002
51,0.5,0.002,0.000375,0.0007
52,0.5,0.0015,0.0,0.0003
53,0.5,0.001,0.000125,0.0003
54,0.5,0.001,0.0,0.0002
55,0.5,0.001,0.0,0.0002
