real,R0,R1,R2,Rt
0,0.5,0.001,0.0,0.0001
1,0.5,0.002,0.0,0.0002
2,0.5,0.001,0.0,0.0001
3,0.5,0.001,0.0,0.0001
4,0.5,0.001,0.0,0.0001
5,0.5,0.001,0.0,0.0001
6,0.5,0.001,0.0,0.0001
7,0.5,0.001,0.0,0.0001
8,0.5,0.001,0.0,0.0001
9,0.5,0.001,0.0,0.0001
10,0.5,0.001,0.00011111111111111112,0.0002
11,0.5,0.002,0.0,0.0002
12,0.5,0.001,0.0,0.0001
13,0.5,0.001,0.0,0.0001
14,0.5,0.001,0.0,0.0001
15,0.5,0.001,0.0,0.0001
16,0.5,0.001,0.0,0.0001
17,0.5,0.001,0.0,0.0001
18,0.5,0.001,0.0,0.0001
19,0.5,0.001,0.0,0.0001
20,0.5,0.003,0.0,0.0003
21,0.5,0.001,0.0,0.0001
22,0.5,0.001,0.0,0.0001
23,0.5,0.001,0.0,0.0001
24,0.5,0.001,0.0,0.0001
25,0.5,0.001,0.0,0.0001
26,0.5,0.001,0.0,0.0001
27,0.5,0.001,0.0,0.0001
28,0.5,0.001,0.0,0.0001
29,0.5,0.001,0.0,0.0001
30,0.5,0.001,0.0,0.0001
31,0.5,0.001,0.0,0.0001
32,0.5,0.001,0.0,0.0001
33,0.5,0.001,0.0,0.0001
34,0.5,0.001,0.0,0.0001
35,0.5,0.001,0.0,0.0001
36,0.5,0.001,0.0,0.0001
37,0.5,0.001,0.0,0.0001
38,0.5,0.002,0.0,0.0002
39,0.5,0.001,0.0,0.0001
40,0.5,0.001,0.0,0.0001
41,0.5,0.001,0.00011111111111111112,0.0002
42,0.5,0.001,0.0,0.0001
43,0.5,0.001,0.0,0.0001
44,0.5,0.001,0.0,0.0001
45,0.5,0.001,0.0,0.0001
46,0.5,0.001,0.0,0.0001
47,0.5,0.001,0.0,0.0001
48,0.5,0.001,0.0,0.0001
49,0.5,0.001,0.0,0.0001
50,0.5,0.001,0.0,0.0001
51,0.5,0.001,0.0,0.0001
52,0.5,0.001,0.0,0.0001
53,0.5,0.001,0.0,0.0001
54,0.5,0.001,0.0,0.0001
55,0.5,0.001,0.0,0.0001
56,0.5,0.001,0.0,0.0001
57,0.5,0.001,0.0,0.0001
58,0.5,0.001,0.0,0.0001
59,0.5,0.001,0.0,0.0001
60,0.5,0.002,0.0003333333333333333,0.0005
61,0.5,0.001,0.0,0.0001
62,0.5,0.001,0.0,0.0001
63,0.5,0.001,0.0006666666666666666,0.0007
64,0.5,0.001,0.0,0.0001
65,0.5,0.001,0.0,0.0001
66,0.5,0.001,0.0,0.0001
67,0.5,0.001,0.0,0.0001
68,0.5,0.001,0.0,0.0001
69,0.5,0.001,0.0,0.0001
70,0.5,0.001,0.0,0.0001
71,0.5,0.001,0.0,0.0001
72,0.5,0.001,0.0,0.0001
73,0.5,0.001,0.0,0.0001
74,0.5,0.001,0.0,0.0001
75,0.5,0.001,0.0,0.0001
76,0.5,0.001,0.0,0.0001
77,0.5,0.001,0.0,0.0001
78,0.5,0.001,0.0,0.0001
79,0.5,0.001,0.0,0.0001
80,0.5,0.001,0.0,0.0001
81,0.5,0.001,0.0,0.0001
82,0.5,0.001,0.00011111111111111112,0.0002
83,0.5,0.001,0.0,0.0001
84,0.5,0.001,0.0,0.0001
85,0.5,0.001,0.0,0.0001
86,0.5,0.001,0.0,0.0001
87,0.5,0.001,0.0,0.0001
88,0.5,0.001,0.0,0.0001
89,0.5,0.001,0.0,0.0001
90,0.5,0.001,0.0,0.0001
91,0.5,0.001,0.0,0.0001
92,0.5,0.001,0.0,0.0001
93,0.5,0.001,0.0,0.0001
94,0.5,0.001,0.0,0.0001
95,0.5,0.001,0.0,0.0001
96,0.5,0.001,0.0,0.0001
97,0.5,0.001,0.0,0.0001
98,0.5,0.001,0.0,0.0001
99,0.5,0.001,0.0,0.0001
0,0.5025025025025025,0.001,0.00011111111111111112,0.0002
1,0.5025025025025025,0.001,0.0,0.0001
2,0.5025025025025025,0.001,0.0,0.0001
3,0.5025025025025025,0.001,0.0,0.0001
4,0.5025025025025025,0.001,0.0,0.0001
5,0.5025025025025025,0.001,0.0,0.0001
6,0.5025025025025025,0.001,0.0,0.0001
7,0.5025025025025025,0.001,0.00011111111111111112,0.0002
8,0.5025025025025025,0.001,0.0,0.0001
9,0.5025025025025025,0.001,0.0,0.0001
10,0.5025025025025025,0.001,0.0,0.0001
11,0.5025025025025025,0.001,0.0,0.0001
12,0.5025025025025025,0.001,0.0,0.0001
13,0.5025025025025025,0.001,0.0,0.0001
14,0.5025025025025025,0.001,0.0,0.0001
15,0.5025025025025025,0.001,0.0,0.0001
16,0.5025025025025025,0.001,0.0,0.0001
17,0.5025025025025025,0.001,0.0,0.0001
18,0.5025025025025025,0.001,0.0,0.0001
19,0.5025025025025025,0.001,0.0,0.0001
20,0.5025025025025025,0.001,0.0,0.0001
21,0.5025025025025025,0.002,0.0,0.0002
22,0.5025025025025025,0.001,0.0,0.0001
23,0.5025025025025025,0.001,0.00011111111111111112,0.0002
24,0.5025025025025025,0.002,0.0,0.0002
25,0.5025025025025025,0.001,0.0,0.0001
26,0.5025025025025025,0.001,0.0,0.0001
27,0.5025025025025025,0.001,0.0,0.0001
28,0.5025025025025025,0.001,0.0,0.0001
29,0.5025025025025025,0.001,0.0,0.0001
30,0.5025025025025025,0.001,0.0,0.0001
31,0.5025025025025025,0.001,0.0,0.0001
32,0.5025025025025025,0.001,0.0,0.0001
33,0.5025025025025025,0.001,0.0,0.0001
34,0.5025025025025025,0.002,0.0,0.0002
35,0.5025025025025025,0.001,0.0,0.0001
36,0.5025025025025025,0.001,0.0,0.0001
37,0.5025025025025025,0.001,0.0,0.0001
38,0.5025025025025025,0.001,0.00011111111111111112,0.0002
39,0.5025025025025025,0.001,0.0,0.0001
40,0.5025025025025025,0.001,0.0,0.0001
41,0.5025025025025025,0.001,0.0,0.0001
42,0.5025025025025025,0.001,0.0,0.0001
43,0.5025025025025025,0.001,0.0,0.0001
44,0.5025025025025025,0.001,0.0,0.0001
