real,R0,R1,R2,Rt
0,0.5,0.001,0.0,0.0002
1,0.5,0.001,0.0,0.0002
2,0.5,0.001,0.00025,0.0004
3,0.5,0.001,0.0,0.0002
4,0.5,0.001,0.000125,0.0003
5,0.5,0.0015,0.0,0.0003
6,0.5,0.001,0.0,0.0002
7,0.5,0.0015,0.000125,0.0004
8,0.5,0.001,0.000125,0.0003
9,0.5,0.001,0.000375,0.0005
10,0.5,0.001,0.0,0.0002
11,0.5,0.001,0.0,0.0002
12,0.5,0.001,0.0,0.0002
13,0.5,0.001,0.0,0.0002
14,0.5,0.001,0.0,0.0002
15,0.5,0.001,0.0,0.0002
16,0.5,0.001,0.000125,0.0003
17,0.5,0.0015,0.000375,0.0006
18,0.5,0.001,0.0,0.0002
19,0.5,0.001,0.00025,0.0004
20,0.5,0.001,0.0,0.0002
21,0.5,0.0015,0.000625,0.0008
22,0.5,0.001,0.0,0.0002
23,0.5,0.001,0.0,0.0002
24,0.5,0.0015,0.000125,0.0004
25,0.5,0.001,0.0,0.0002
26,0.5,0.0015,0.0,0.0003
27,0.5,0.001,0.000125,0.0003
28,0.5,0.0015,0.0,0.0003
29,0.5,0.001,0.0,0.0002
30,0.5,0.0035,0.00325,0.0033
31,0.5,0.0025,0.000375,0.0008
32,0.5,0.001,0.0,0.0002
33,0.5,0.001,0.000125,0.0003
34,0.5,0.001,0.00075,0.0008
35,0.5,0.001,0.00025,0.0004
36,0.5,0.001,0.0,0.0002
37,0.5,0.001,0.0,0.0002
38,0.5,0.001,0.000125,0.0003
39,0.5,0.0025,0.00025,0.0007
40,0.5,0.001,0.0,0.0002
41,0.5,0.002,0.002375,0.0023
42,0.5,0.001,0.0,0.0002
43,0.5,0.001,0.0,0.0002
44,0.5,0.001,0.00025,0.0004
45,0.5,0.0015,0.000375,0.0006
46,0.5,0.0015,0.00075,0.0009
47,0.5,0.0015,0.000125,0.0004
48,0.5,0.001,0.0,0.0002
49,0.5,0.001,0.0,0.0002
50,0.5,0.0015,0.0,0.0003
51,0.5,0.0015,0.0005,0.0007
52,0.5,0.001,0.0,0.0002
53,0.5,0.0015,0.0,0.0003
54,0.5,0.001,0.0,0.0002
55,0.5,0.001,0.000125,0.0003
56,0.5,0.0015,0.000375,0.0006
57,0.5,0.001,0.0,0.0002
58,0.5,0.0015,0.00075,0.0009
59,0.5,0.001,0.0,0.0002
60,0.5,0.001,0.0,0.0002
61,0.5,0.0015,0.0,0.0003
62,0.5,0.0015,0.000375,0.0006
63,0.5,0.001,0.000125,0.0003
64,0.5,0.001,0.00025,0.0004
65,0.5,0.001,0.0,0.0002
66,0.5,0.001,0.0,0.0002
67,0.5,0.001,0.000125,0.0003
68,0.5,0.001,0.0,0.0002
69,0.5,0.001,0.00025,0.0004
70,0.5,0.001,0.000125,0.0003
71,0.5,0.001,0.0,0.0002
72,0.5,0.001,0.0,0.0002
73,0.5,0.001,0.0,0.0002
74,0.5,0.001,0.0,0.0002
75,0.5,0.001,0.0,0.0002
76,0.5,0.001,0.0,0.0002
77,0.5,0.001,0.00025,0.0004
78,0.5,0.001,0.0,0.0002
79,0.5,0.001,0.000125,0.0003
80,0.5,0.0015,0.0,0.0003
81,0.5,0.001,0.0,0.0002
82,0.5,0.001,0.000125,0.0003
83,0.5,0.0015,0.000125,0.0004
84,0.5,0.001,0.0,0.0002
85,0.5,0.0015,0.00025,0.0005
86,0.5,0.001,0.0,0.0002
87,0.5,0.001,0.0,0.0002
88,0.5,0.002,0.000875,0.0011
89,0.5,0.002,0.0005,0.0008
90,0.5,0.001,0.0,0.0002
91,0.5,0.001,0.0,0.0002
92,0.5,0.001,0.000375,0.0005
93,0.5,0.001,0.0,0.0002
94,0.5,0.001,0.0,0.0002
95,0.5,0.001,0.0,0.0002
96,0.5,0.001,0.0,0.0002
97,0.5,0.001,0.0,0.0002
98,0.5,0.001,0.000125,0.0003
99,0.5,0.001,0.000125,0.0003
0,0.5025025025025025,0.003,0.00125,0.0016
1,0.5025025025025025,0.001,0.0,0.0002
2,0.5025025025025025,0.0015,0.0,0.0003
3,0.5025025025025025,0.001,0.000125,0.0003
4,0.5025025025025025,0.001,0.000125,0.0003
5,0.5025025025025025,0.001,0.0,0.0002
6,0.5025025025025025,0.001,0.000125,0.0003
7,0.5025025025025025,0.001,0.00075,0.0008
8,0.5025025025025025,0.001,0.00025,0.0004
9,0.5025025025025025,0.001,0.0,0.0002
10,0.5025025025025025,0.001,0.0,0.0002
11,0.5025025025025025,0.0015,0.0,0.0003
